City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Berlevag,NO,2022-04-15 03:11:24,70.8578,29.0864,31.8,73,98,15.88
141,Samarai,PG,2022-04-15 03:14:31,-10.6167,150.6667,84.49,71,88,11.05
142,Dunedin,NZ,2022-04-15 03:14:25,-45.8742,170.5036,64.8,55,44,11.01
143,Rexburg,US,2022-04-15 03:14:32,43.826,-111.7897,35.58,83,100,12.66
144,Lagoa,PT,2022-04-15 03:09:42,39.05,-27.9833,60.31,79,20,16.62
145,Itarema,BR,2022-04-15 03:14:33,-2.9248,-39.9167,77.29,86,94,5.08
146,Pacifica,US,2022-04-15 03:13:44,37.6138,-122.4869,57.22,91,75,15.01
147,Katsuura,JP,2022-04-15 03:13:38,35.1333,140.3,55.42,90,100,20.45
148,Jacareacanga,BR,2022-04-15 03:14:34,-6.2222,-57.7528,73.63,98,100,1.86
149,Bara,NG,2022-04-15 03:14:34,10.3744,10.7288,81.01,62,84,14.47
150,Outjo,NA,2022-04-15 03:14:35,-20.1167,16.15,60.89,48,16,2.98
151,Airai,TL,2022-04-15 03:14:36,-8.9266,125.4092,73.72,64,28,2.82
152,Tupelo,US,2022-04-15 03:09:52,34.2576,-88.7034,55.69,66,0,0.0
153,Mount Isa,AU,2022-04-15 03:14:37,-20.7333,139.5,92.97,21,6,11.5
154,Isla Vista,US,2022-04-15 03:14:38,34.4133,-119.861,64.83,59,0,11.01
155,Thompson,CA,2022-04-15 03:14:38,55.7435,-97.8558,11.21,83,100,13.98
156,Somerset East,ZA,2022-04-15 03:14:39,-32.7217,25.588,56.48,95,100,8.77
157,Longyearbyen,SJ,2022-04-15 03:08:33,78.2186,15.6401,22.84,58,75,6.91
158,Presidente Epitacio,BR,2022-04-15 03:14:04,-21.7633,-52.1156,64.38,88,0,6.35
159,Leningradskiy,RU,2022-04-15 03:09:58,69.3833,178.4167,17.89,91,100,12.5
160,Springfield,US,2022-04-15 03:13:25,37.2153,-93.2982,51.66,60,0,8.05
161,Belyy Yar,RU,2022-04-15 03:14:41,53.6039,91.3903,42.69,31,0,4.47
162,Fort Walton Beach,US,2022-04-15 03:14:42,30.4058,-86.6188,69.82,93,0,3.44
163,Saint-Philippe,RE,2022-04-15 03:13:35,-21.3585,55.7679,76.59,85,43,12.73
164,Chicama,PE,2022-04-15 03:14:43,-7.8447,-79.1469,63.14,78,100,6.24
165,Rodrigues Alves,BR,2022-04-15 03:14:43,-7.738,-72.6509,72.5,99,98,2.53
166,Iqaluit,CA,2022-04-15 03:09:41,63.7506,-68.5145,-10.26,86,4,9.57
167,Okhotsk,RU,2022-04-15 03:14:04,59.3833,143.3,26.17,62,39,9.66
168,La Ronge,CA,2022-04-15 03:14:45,55.1001,-105.2842,16.92,81,100,9.69
169,Paramonga,PE,2022-04-15 03:14:46,-10.6667,-77.8333,66.31,89,75,8.7
170,Cape Town,ZA,2022-04-15 03:06:30,-33.9258,18.4232,60.12,72,32,7.0
171,Cachoeira Do Sul,BR,2022-04-15 03:13:55,-30.0392,-52.8939,50.52,73,0,0.96
172,Tiksi,RU,2022-04-15 03:09:42,71.6872,128.8694,4.62,93,100,9.24
173,Egvekinot,RU,2022-04-15 03:14:47,66.3167,-179.1667,26.96,86,96,9.75
174,Portland,US,2022-04-15 03:12:54,45.5234,-122.6762,41.58,90,75,5.75
175,Teacapan,MX,2022-04-15 03:14:48,22.55,-105.75,70.93,79,99,6.42
176,Salalah,OM,2022-04-15 03:14:49,17.0151,54.0924,77.09,69,0,2.3
177,Chokurdakh,RU,2022-04-15 03:14:49,70.6333,147.9167,12.4,91,100,9.13
178,Lorengau,PG,2022-04-15 03:15:50,-2.0226,147.2712,85.28,70,17,8.5
179,Bilibino,RU,2022-04-15 03:15:48,68.0546,166.4372,28.31,81,99,4.43
180,Brae,GB,2022-04-15 03:15:51,60.3964,-1.353,43.14,82,99,9.13
181,Hobyo,SO,2022-04-15 03:15:52,5.3505,48.5268,81.57,73,95,9.78
182,Mandalgovi,MN,2022-04-15 03:15:52,45.7625,106.2708,37.08,22,100,11.14
183,Hondo,JP,2022-04-15 03:15:53,32.45,130.2,62.29,76,75,17.72
184,Port Lincoln,AU,2022-04-15 03:15:53,-34.7333,135.8667,71.56,67,0,6.78
185,Lebu,CL,2022-04-15 03:15:54,-37.6167,-73.65,50.85,94,0,5.17
186,Yanam,IN,2022-04-15 03:13:47,16.7333,82.2167,89.33,60,70,4.92
187,Sobolevo,RU,2022-04-15 03:13:34,54.4299,31.8996,40.44,79,100,7.54
188,Dingle,PH,2022-04-15 03:15:55,10.9995,122.6711,85.68,67,100,3.74
189,Butaritari,KI,2022-04-15 03:15:56,3.0707,172.7902,81.79,72,96,9.86
190,Constitucion,CL,2022-04-15 03:11:24,-35.3333,-72.4167,51.44,93,9,2.8
191,Port Hardy,CA,2022-04-15 03:15:57,50.6996,-127.4199,46.4,49,40,8.05
192,Kulhudhuffushi,MV,2022-04-15 03:15:57,6.6221,73.07,84.24,71,19,6.69
193,Aketi,CD,2022-04-15 03:15:58,2.7388,23.7833,70.34,97,100,1.83
194,Shihezi,CN,2022-04-15 03:15:59,44.3,86.0333,47.39,16,0,7.07
195,Bretcu,RO,2022-04-15 03:16:00,46.05,26.3,41.4,82,4,2.42
196,Rio Gallegos,AR,2022-04-15 03:09:35,-51.6226,-69.2181,50.05,81,20,3.44
197,Dalvik,IS,2022-04-15 03:16:01,65.9702,-18.5286,42.73,82,95,13.35
198,Villazon,BO,2022-04-15 03:16:01,-22.0866,-65.5942,40.6,79,3,9.28
199,Yatou,CN,2022-04-15 03:16:02,37.15,122.3833,56.55,40,46,17.49
200,Port Alfred,ZA,2022-04-15 03:11:17,-33.5906,26.891,60.19,93,100,5.99
