City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Dunedin,NZ,-45.8742,170.5036,55.49,66,0,1.43,clear sky
178,Klaksvik,FO,62.2266,-6.589,45.52,96,100,10.92,light rain
179,Alofi,NU,-19.0595,-169.9187,85.89,70,85,9.22,overcast clouds
180,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,18.41,scattered clouds
181,Santa Lucia,ES,27.9117,-15.5407,70.92,31,70,12.66,broken clouds
182,Bandarbeyla,SO,9.4942,50.8122,81.01,82,52,8.32,broken clouds
183,Carnarvon,AU,-24.8667,113.6333,64.47,88,99,11.5,overcast clouds
184,Diamantino,BR,-14.4086,-56.4461,74.23,80,93,3.67,overcast clouds
185,Quang Ngai,VN,15.1167,108.8,71.94,87,82,4.21,broken clouds
186,Kindu,CD,-2.95,25.95,70.81,97,72,1.19,broken clouds
187,Masunga,BW,-20.6246,27.4488,59.52,94,98,9.89,overcast clouds
188,Morondava,MG,-20.2833,44.2833,81.12,82,1,7.18,clear sky
189,Yar-Sale,RU,66.8333,70.8333,10.96,87,96,7.83,overcast clouds
190,Ancud,CL,-41.8697,-73.8203,55.22,86,100,4.74,overcast clouds
191,Novosysoyevka,RU,44.235,133.3642,43.43,46,70,3.38,broken clouds
192,Pangoa,PE,-12.1167,-73.0,70.79,88,39,1.43,scattered clouds
193,Santiago Del Estero,AR,-27.7951,-64.2615,66.6,53,0,3.8,clear sky
194,Tynda,RU,55.1667,124.7167,25.45,72,100,3.6,overcast clouds
195,Russell,US,32.3502,-85.1999,66.96,93,0,0.0,light rain
196,Dwarka,IN,22.2394,68.9678,79.32,77,9,11.41,clear sky
197,Teruel,ES,40.6667,-0.6667,48.76,73,100,1.5,overcast clouds
198,Zuwarah,LY,32.9312,12.082,62.76,71,55,4.76,broken clouds
199,Aden,YE,12.7794,45.0367,82.24,77,36,5.44,scattered clouds
200,Villa Rica,US,33.7321,-84.9191,72.34,77,86,0.78,overcast clouds
201,Marabba,SD,12.35,32.1833,94.96,29,94,6.69,overcast clouds
202,Esperance,AU,-33.8667,121.9,60.22,67,82,7.11,broken clouds
203,San Angelo,US,31.4638,-100.437,91.62,7,0,13.8,clear sky
204,Kushiro,JP,42.975,144.3747,45.55,81,75,1.14,broken clouds
205,Sisian,AM,39.5256,46.0251,41.23,66,22,3.06,few clouds
206,Alugan,PH,12.2188,125.4808,81.16,71,98,10.27,overcast clouds
207,Geraldton,AU,-28.7667,114.6,52.21,82,0,10.36,clear sky
208,Rio Gallegos,AR,-51.6226,-69.2181,50.05,81,100,25.32,light rain
209,Prestea,GH,5.4327,-2.1428,74.53,97,98,3.58,overcast clouds
210,Maldonado,UY,-34.6667,-54.9167,62.22,83,100,7.25,overcast clouds
211,Cap Malheureux,MU,-19.9842,57.6142,75.47,91,30,3.0,scattered clouds
212,Mezen,RU,65.8522,44.24,31.96,98,100,8.72,light snow
213,Kavaratti,IN,10.5669,72.642,82.74,75,69,5.14,broken clouds
214,Carmo Do Paranaiba,BR,-19.0008,-46.3161,66.76,80,100,5.66,overcast clouds
215,Chabahar,IR,25.2919,60.643,81.36,73,0,7.83,clear sky
216,The Valley,AI,18.217,-63.0578,78.66,83,40,18.41,scattered clouds
217,Muros,ES,42.7762,-9.0603,57.83,79,24,12.3,few clouds
218,Lielvarde,LV,56.7207,24.8074,34.41,72,19,3.33,few clouds
219,El Rosario,MX,24.2556,-107.1828,90.61,22,37,13.24,scattered clouds
220,Saint-Joseph,RE,-21.3667,55.6167,73.78,86,32,10.56,light rain
221,Ahipara,NZ,-35.1667,173.1667,70.43,88,97,13.71,light rain
222,Salalah,OM,17.0151,54.0924,82.49,83,75,3.44,broken clouds
223,Gonbad-E Qabus,IR,37.25,55.1672,52.7,75,100,2.21,overcast clouds
224,Coolum Beach,AU,-26.5333,153.1,74.34,74,58,7.25,broken clouds
225,Thinadhoo,MV,0.5333,72.9333,83.01,73,91,9.71,overcast clouds
226,Coihaique,CL,-45.5752,-72.0662,54.21,71,75,4.61,broken clouds
227,Lavrentiya,RU,65.5833,-171.0,30.58,98,100,14.23,light snow
228,Codrington,AU,-38.2667,141.9667,59.41,79,100,10.0,moderate rain
229,Muisne,EC,0.6,-80.0333,76.37,83,65,8.79,broken clouds
